X,Y,name,elevation
-74.0737946425,4.6346511086,524 Colegio Americano de Bogotá,2586.8
-74.0752074515,4.6351833568,025 Palermo Ac 45,2583.4
-74.0746620018,4.6382036526,NYD,2585
-74.0740037513,4.6397400485,526 Alfonso López,2590.1
-74.0741172161,4.6413289025,362 CC Galerías,2582.1
-74.0773743857,4.6417723317,523 Belalcazar,2586.2
-74.0750373592,4.6274636838,162 Partido Conservador Colombiano,2597.3
-74.0741721503,4.624449159,119 La Soledad,2601
-74.0742175095,4.6207976667,121 Teusaquillo,2597
-74.0736563436,4.6243801059,621 Park Way,2593.4
-74.0735747982,4.6250888356,141 La Soledad,2594.3
-74.0729910641,4.6285719773,142 La Soledad,2591.7
-74.0720628523,4.6314618554,NN Canal Arzobispo,2594.2
-74.0722448286,4.6320271958,144 Santa Teresita,2594
-74.0719287052,4.6324124666,NZD,2592.1
-74.0755521599,4.6273866808,163 La Soledad,2591.2
-74.075711919,4.6291765943,NN La Soledad,2591.6
-74.0752303787,4.6313283546,165 La Soledad,2586.9
-74.0748660173,4.6306137973,NN CAI La Soledad,2593.4
-74.0748266028,4.6498487216,NZC,2582.3
-74.0740717482,4.6438225033,188 Galerías,2584.1
-74.0723835019,4.6458383929,022 San Luis,2581.6
-74.072921349,4.6439824521,023 San Luis,2576.9
-74.0718727755,4.6423686489,535 Galerías,2578.7
-74.0714654412,4.6443096021,537 Banco Central,2582.1
-74.0704149661,4.6400666207,533 Ak 17,2574.3
-74.0732942428,4.640541923,527 Parroquia Santa Marta,2577.9
-74.0704759026,4.6391506155,532 Alfonso López,2584.9
-74.0774476913,4.6093612864,NAB La Favorita,2613.3683091716
-74.079412032,4.610746196,NAF La Favorita,2611.9428799123
-74.0818775622,4.6127958027,255 El Listón,2607.8325311787
-74.0739858079,4.641205343,356 Galerías,2578.4
-74.0668757371,4.6475494552,NAG Fundación Universitaria San Martín,2574.915653369
-74.0635116817,4.646694258,NAI CC Aquarium,2596.4101978155
-74.0625103344,4.64914444,053 CC Chapinero,2594.6662011306
-74.0903127752,4.6156834904,126,2596.6
-74.0848976135,4.622071791,209 Colseguros,
-74.0832620508,4.6239781218,175 Cli Meredi,
-74.0807480179,4.623604808,671 Usatama,2597.7
-74.095412501,4.6001354433,NYJ,2595.2083300623
-74.0926460344,4.6049561205,NYK,2602.330674536
-74.0923392714,4.6083942048,322 Ricaurte,2601.5727802748
-74.0891521112,4.6123261779,321 Estación Ricaurte,2598.2458355119
-74.0848594087,4.61301718,159 Paloquemao,2602.1848341941
-74.0811840679,4.6125553116,NAA La Favorita,2608.5256296785
-74.0753032462,4.6323924905,NYL,2594.7
-74.0687439049,4.6077812901,NAC U Jorge Tadeo Lozano,
-74.0753718908,4.6136688319,NAD Santa Fe,
-74.0768887434,4.616084641,NAH Cementerio Central,
-74.0995013871,4.5993628012,NAL CAI Santa Isabel,
-74.0627671762,4.6601758154,NAE San Felipe,
-74.0794301635,4.6111277026,254 XXX,
-74.0817801176,4.6129249411,007 El Listón,2612.2
-74.0671869194,4.6052364481,664 Estación Universidades,
-74.0650660638,4.6328938007,NYM,2624
-74.0922147049,4.6040159387,NYN,2605.9
-74.0956650866,4.6021835172,NYO,2605.7
-74.0969195693,4.600141194,NYP,2605.8
-74.050212262,4.6835562007,NYQ,
-74.0698435547,4.5932213301,460 Fundafidro,2713.7
-74.0670807406,4.5958482195,494 Universidad externado,2736.4
-74.0649252779,4.5980661978,498 Universidad Distrital Faramena,2743.6
